Age,Experience_Years,Gender_Male,Gender_Other,Education_Level_Graduate,Education_Level_PhD,Education_Level_Postgraduate,Job_Role_Data Analyst,Job_Role_HR Executive,Job_Role_Manager,Job_Role_Research Scholar,Job_Role_Sales Executive,Job_Role_Software Engineer,Job_Role_Teacher,Job_Role_Technician,Region_Rural,Region_Tier-2
33,11,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
26,2,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
30,8,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
21,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36,5,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
21,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
23,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
25,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
35,10,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,5,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
27,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
30,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
29,9,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
30,4,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
35,10,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
38,14,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
34,12,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
34,8,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
29,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
34,13,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
22,2,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
31,5,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
30,6,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
25,2,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
21,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
35,10,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
26,3,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
29,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
33,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
33,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
34,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
40,15,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
24,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
32,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
37,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
28,2,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
35,13,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
37,2,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,11,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
35,14,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,3,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
34,13,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
37,8,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
25,2,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
28,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
26,6,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
21,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
33,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
24,4,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
21,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26,5,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
27,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
24,4,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
27,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
35,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
30,10,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
33,7,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
37,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
34,12,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
28,7,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
29,5,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
31,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
34,7,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
21,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
36,16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
35,8,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
26,4,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
21,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
34,3,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
35,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
36,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,10,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
31,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
28,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
27,5,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
29,7,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
35,15,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
23,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
31,10,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
32,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
36,14,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
35,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
39,12,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
32,8,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
21,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
38,11,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
33,11,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
29,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
22,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
41,21,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
37,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
31,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
31,7,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
27,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
25,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
24,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
25,4,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
26,4,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
28,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
27,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
28,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
38,18,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
34,12,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
29,4,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
31,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
36,5,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
33,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
29,4,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
33,12,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
31,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
36,16,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
24,4,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
27,5,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
33,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
26,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
31,2,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
36,12,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
24,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
23,3,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
26,5,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
35,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
35,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
24,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
30,2,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
26,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
37,10,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
30,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
22,1,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
39,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
31,1,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
39,11,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
24,1,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
21,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
30,1,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
30,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
37,5,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
36,9,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
32,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
24,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
25,4,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
39,9,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
25,3,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
35,8,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
29,3,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
39,19,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
23,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
21,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
30,6,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
32,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
36,4,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
22,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
33,2,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
40,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
37,17,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
37,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,3,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
21,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
37,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
22,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
28,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
37,2,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
30,8,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
33,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
26,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
22,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
25,2,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
36,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
28,7,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,2,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
44,2,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36,3,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
29,8,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
35,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
35,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
30,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
30,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
22,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
54,30,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
40,10,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
29,4,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
36,3,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
21,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
26,4,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
39,13,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
28,4,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
38,1,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False
24,2,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
21,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
37,15,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
