ID,Gender,Age,Education_Level,Job_Role,Experience_Years,Region,Salary_LPA
1,Male,35,Postgraduate,Manager,9,Metro,16.2
2,Male,31,Graduate,Teacher,7,Metro,3.83
3,Female,36,Postgraduate,Manager,16,Metro,19.59
4,Male,42,Postgraduate,Consultant,20,Metro,18.85
5,Other,30,Postgraduate,Manager,1,Tier-2,7.19
6,Female,30,Postgraduate,Manager,5,Metro,12.11
7,Other,43,Postgraduate,Data Analyst,4,Tier-2,3.39
8,Male,37,Graduate,Software Engineer,3,Metro,6.56
9,Female,28,Postgraduate,HR Executive,1,Metro,3.88
10,Male,35,Postgraduate,Data Analyst,11,Metro,8.04
11,Male,28,Graduate,Technician,2,Tier-2,1.95
12,Male,28,PhD,Teacher,5,Tier-2,3.51
13,Male,33,Postgraduate,Teacher,7,Rural,3.34
14,Female,21,Graduate,Teacher,1,Tier-2,1.5
15,Female,21,Graduate,Sales Executive,1,Metro,3.18
16,Male,28,Graduate,Data Analyst,4,Metro,5.35
17,Male,24,Graduate,Technician,4,Tier-2,2.47
18,Female,34,Postgraduate,Consultant,9,Tier-2,9.62
19,Male,25,Graduate,HR Executive,5,Metro,6.13
20,Female,22,Graduate,Software Engineer,0,Metro,3.74
21,Female,42,Postgraduate,Consultant,2,Tier-2,5.16
22,Male,30,Graduate,Data Analyst,6,Metro,6.91
23,Female,32,Postgraduate,HR Executive,12,Rural,4.27
24,Female,22,Graduate,Software Engineer,1,Tier-2,3.55
25,Female,28,Postgraduate,Consultant,0,Metro,6.26
26,Male,32,Postgraduate,Consultant,3,Metro,7.38
27,Female,23,Postgraduate,Manager,1,Tier-2,7.79
28,Male,34,Graduate,Sales Executive,10,Tier-2,4.14
29,Female,27,Graduate,Sales Executive,5,Tier-2,2.68
30,Female,29,Postgraduate,Manager,2,Tier-2,7.45
31,Male,27,Graduate,Sales Executive,5,Tier-2,2.66
32,Female,44,Postgraduate,Teacher,9,Metro,3.04
33,Male,31,Postgraduate,Teacher,5,Rural,2.69
34,Male,24,Postgraduate,Consultant,3,Metro,8.53
35,Male,37,Graduate,Sales Executive,8,Metro,5.3
36,Male,23,Graduate,Data Analyst,1,Metro,4.49
37,Male,33,Graduate,HR Executive,3,Metro,3.63
38,Male,21,Graduate,Data Analyst,0,Metro,4.75
39,Male,22,12th Pass,Technician,2,Tier-2,1.66
40,Male,33,Postgraduate,Manager,13,Metro,19.05
41,Male,37,Graduate,Data Analyst,12,Rural,6.02
42,Male,33,Postgraduate,Manager,3,Tier-2,9.17
43,Female,31,Graduate,Technician,7,Metro,2.47
44,Male,29,Postgraduate,Data Analyst,9,Metro,8.21
45,Female,21,Graduate,Teacher,1,Metro,1.94
46,Male,26,Graduate,Data Analyst,2,Metro,4.82
47,Female,28,PhD,Teacher,2,Metro,3.23
48,Female,39,Graduate,Software Engineer,15,Metro,12.46
49,Male,34,Postgraduate,Consultant,10,Metro,12.16
50,Male,21,Graduate,Teacher,1,Metro,1.7
51,Female,34,Postgraduate,Teacher,7,Metro,3.89
52,Male,29,Postgraduate,Manager,0,Rural,5.9
53,Male,27,Graduate,Sales Executive,1,Metro,2.87
54,Female,36,Postgraduate,Consultant,2,Metro,6.56
55,Female,39,Postgraduate,HR Executive,10,Metro,6.01
56,Male,38,Graduate,Software Engineer,17,Metro,14.49
57,Female,26,Graduate,Sales Executive,2,Tier-2,2.78
58,Female,29,Graduate,Software Engineer,7,Metro,7.12
59,Male,34,Postgraduate,Manager,10,Metro,17.28
60,Male,38,PhD,Research Scholar,13,Tier-2,6.64
61,Female,28,Graduate,HR Executive,5,Metro,4.14
62,Male,30,Graduate,Software Engineer,6,Metro,6.94
63,Female,24,Graduate,HR Executive,1,Metro,3.65
64,Male,23,Graduate,Software Engineer,2,Metro,7.03
65,Male,37,Postgraduate,Teacher,9,Metro,4.88
66,Male,41,Postgraduate,Data Analyst,21,Rural,7.75
67,Female,31,Graduate,Software Engineer,0,Metro,4.68
68,Female,39,Postgraduate,Data Analyst,18,Tier-2,7.71
69,Female,34,PhD,Research Scholar,12,Tier-2,6.38
70,Female,27,Postgraduate,Consultant,0,Tier-2,5.02
71,Male,34,Postgraduate,Consultant,11,Tier-2,10.95
72,Female,42,Graduate,Sales Executive,14,Tier-2,3.7
73,Male,31,Graduate,Teacher,9,Metro,3.78
74,Female,42,Graduate,Technician,11,Metro,3.15
75,Female,21,Graduate,Data Analyst,0,Tier-2,2.85
76,Male,37,PhD,Teacher,8,Rural,2.36
77,Female,32,Postgraduate,Teacher,4,Metro,1.86
78,Female,29,Graduate,Software Engineer,3,Metro,5.74
79,Male,32,Graduate,Software Engineer,11,Tier-2,9.78
80,Female,21,12th Pass,Technician,1,Metro,2.16
81,Female,30,Postgraduate,Data Analyst,8,Rural,3.87
82,Female,34,Postgraduate,Manager,8,Metro,13.08
83,Male,42,Graduate,Data Analyst,2,Tier-2,3.46
84,Male,28,Postgraduate,Data Analyst,4,Metro,4.84
85,Other,26,Graduate,Teacher,2,Metro,3.28
86,Female,28,Graduate,Software Engineer,1,Metro,3.72
87,Female,38,Graduate,HR Executive,16,Metro,6.96
88,Male,34,Graduate,Teacher,11,Metro,3.63
89,Male,28,Graduate,Data Analyst,1,Tier-2,4.06
90,Female,35,Graduate,Teacher,7,Metro,3.2
91,Male,32,Postgraduate,Manager,10,Metro,17.85
92,Other,38,Postgraduate,Consultant,2,Metro,6.42
93,Male,27,Postgraduate,Manager,6,Tier-2,12.63
94,Male,29,Postgraduate,Manager,6,Metro,12.98
95,Male,29,Graduate,Data Analyst,1,Rural,2.21
96,Male,21,Graduate,Software Engineer,0,Tier-2,4.4
97,Female,34,Graduate,Teacher,2,Tier-2,2.21
98,Other,33,Postgraduate,Data Analyst,1,Metro,3.67
99,Male,32,Postgraduate,Manager,11,Tier-2,15.07
100,Male,30,Graduate,Software Engineer,2,Metro,6.09
101,Female,22,Graduate,Technician,1,Tier-2,2.65
102,Female,29,Graduate,Software Engineer,7,Metro,8.49
103,Male,29,Graduate,Data Analyst,4,Tier-2,3.45
104,Male,26,Graduate,Sales Executive,2,Metro,2.74
105,Male,30,Graduate,Technician,4,Metro,3.11
106,Female,34,Graduate,Technician,10,Metro,3.32
107,Male,45,Graduate,Technician,23,Metro,5.26
108,Female,33,Graduate,Software Engineer,6,Tier-2,5.88
109,Male,33,PhD,Consultant,5,Rural,7.05
110,Female,31,Graduate,Software Engineer,0,Tier-2,2.77
111,Male,21,12th Pass,Technician,1,Metro,3.33
112,Male,31,Postgraduate,Consultant,0,Metro,5.27
113,Female,32,PhD,Consultant,0,Metro,5.44
114,Female,49,Graduate,Software Engineer,13,Metro,10.26
115,Male,30,Graduate,Software Engineer,9,Rural,6.25
116,Female,34,PhD,Consultant,13,Metro,13.91
117,Female,31,Graduate,HR Executive,7,Tier-2,5.06
118,Male,23,Graduate,Teacher,3,Tier-2,2.29
119,Female,39,Graduate,Sales Executive,13,Tier-2,4.62
120,Female,37,PhD,Teacher,6,Rural,2.21
121,Female,37,PhD,Consultant,5,Metro,7.4
122,Female,25,Postgraduate,Data Analyst,3,Metro,3.29
123,Female,41,Graduate,Data Analyst,0,Rural,2.5
124,Male,22,Graduate,Software Engineer,2,Tier-2,4.7
125,Female,36,Graduate,Sales Executive,14,Metro,5.08
126,Female,47,PhD,Research Scholar,0,Metro,5.25
127,Female,25,Postgraduate,Consultant,3,Tier-2,5.18
128,Male,28,Graduate,Sales Executive,2,Metro,2.39
129,Female,32,Postgraduate,Manager,6,Rural,8.79
130,Male,28,Graduate,Technician,4,Metro,2.88
131,Female,21,Graduate,Software Engineer,0,Tier-2,3.67
132,Male,32,Postgraduate,Consultant,3,Tier-2,5.81
133,Female,24,Graduate,Technician,0,Tier-2,2.5
134,Male,35,Graduate,Sales Executive,4,Metro,2.63
135,Female,25,Graduate,Data Analyst,3,Rural,2.43
136,Male,42,Postgraduate,Consultant,13,Tier-2,11.74
137,Female,26,Postgraduate,HR Executive,1,Tier-2,2.86
138,Male,29,PhD,Teacher,7,Metro,4.6
139,Female,37,Postgraduate,Data Analyst,1,Metro,3.04
140,Male,23,Graduate,Technician,3,Metro,2.06
141,Male,33,Graduate,Software Engineer,0,Metro,4.58
142,Male,41,PhD,Teacher,3,Tier-2,3.48
143,Female,21,Graduate,HR Executive,0,Metro,2.14
144,Female,33,Postgraduate,Data Analyst,4,Tier-2,3.85
145,Male,33,Postgraduate,HR Executive,12,Metro,7.71
146,Female,37,Postgraduate,Consultant,4,Metro,8.34
147,Female,23,Graduate,Data Analyst,0,Rural,2.46
148,Male,22,12th Pass,Sales Executive,2,Rural,1.5
149,Female,35,Postgraduate,Data Analyst,11,Rural,4.71
150,Male,34,PhD,Consultant,3,Tier-2,5.87
151,Male,33,Postgraduate,Data Analyst,0,Tier-2,3.24
152,Female,34,Postgraduate,HR Executive,6,Rural,2.6
153,Male,27,Graduate,Technician,0,Tier-2,1.5
154,Male,33,Postgraduate,Manager,1,Rural,6.59
155,Female,34,Postgraduate,Consultant,10,Metro,12.24
156,Female,26,Postgraduate,Teacher,6,Rural,2.43
157,Male,45,Graduate,Teacher,16,Tier-2,3.75
158,Male,35,PhD,Teacher,10,Metro,3.94
